,prompt,response
0,<email>Approved. Proceed to contract signature by EOD.</email>,<author>Alice</author>
1,<email>Please circulate the quarterly memo by 14:00.</email>,<author>Alice</author>
2,<email>Good work on the pilot. Roll out to Tier 1 clients next week.</email>,<author>Alice</author>
3,<email>Decline the sponsorship. Not aligned with strategy.</email>,<author>Alice</author>
4,"<email>Confirm budget reallocation: +£250k to Platform, effective today.</email>",<author>Alice</author>
5,<email>Set the board prep call for 09:30 tomorrow.</email>,<author>Alice</author>
6,<email>Hold hiring on Ops until Q4 forecast is finalized.</email>,<author>Alice</author>
7,<email>Please send me the redline summary only.</email>,<author>Alice</author>
8,<email>Greenlight the A/B test. Run for two weeks.</email>,<author>Alice</author>
9,<email>Move the launch to Wednesday. Marketing to adjust comms.</email>,<author>Alice</author>
10,<email>Close the loop with the Auditor today. I want a written confirmation.</email>,<author>Alice</author>
11,<email>CX scores are slipping. I want a turnaround plan by Monday.</email>,<author>Alice</author>
12,"<email>Approve the vendor, contingent on a 30-day termination clause.</email>",<author>Alice</author>
13,<email>Cut scope by 10% to hit the date. No change to quality.</email>,<author>Alice</author>
14,<email>Schedule quarterly skip-levels next week. 20 minutes each.</email>,<author>Alice</author>
15,<email>Deck is too long. Reduce to 8 slides with decisions highlighted.</email>,<author>Alice</author>
16,<email>Please acknowledge receipt of the new OKRs.</email>,<author>Alice</author>
17,<email>We will not discount further. Hold the line.</email>,<author>Alice</author>
18,<email>Escalation noted. Resolve with Legal before noon.</email>,<author>Alice</author>
19,<email>Approve travel for the Tokyo visit. Keep it to two days.</email>,<author>Alice</author>
20,<email>Ship the hotfix by 18:00. Include rollback plan.</email>,<author>Alice</author>
21,<email>Invite Finance to the roadmap review.</email>,<author>Alice</author>
22,<email>Thanks for the update. Continue as planned.</email>,<author>Alice</author>
23,"<email>I want weekly metrics in my inbox by 08:30, every Monday.</email>",<author>Alice</author>
24,<email>Please draft a two-paragraph customer note. Keep it factual.</email>,<author>Alice</author>
25,<email>Defer the rebrand decision to Q1.</email>,<author>Alice</author>
26,<email>We will exit the RFP. Probability too low.</email>,<author>Alice</author>
27,<email>Confirm GDPR posture with DPO. Send summary to me.</email>,<author>Alice</author>
28,<email>Great result this quarter. Recognize the team publicly.</email>,<author>Alice</author>
29,<email>Add churn analysis to the board pack.</email>,<author>Alice</author>
30,<email>Pause non-critical spend until after audit close.</email>,<author>Alice</author>
31,"<email>Customer escalation: call them today, then report back.</email>",<author>Alice</author>
32,<email>Approve the equity refresh. Keep within the pool.</email>,<author>Alice</author>
33,<email>Set a standing 1:1 with the new GM.</email>,<author>Alice</author>
34,<email>Switch the KPI to net revenue retention. Effective immediately.</email>,<author>Alice</author>
35,"<email>I want a postmortem within 48 hours. Blameless, concise.</email>",<author>Alice</author>
36,<email>Renew the lease for one year. No expansion.</email>,<author>Alice</author>
37,<email>Please brief PR. No comment until we publish.</email>,<author>Alice</author>
38,"<email>Security review first, then merge. No exceptions.</email>",<author>Alice</author>
39,<email>Invite our top three customers to the beta.</email>,<author>Alice</author>
40,<email>Thanks. Let’s standardize this process company-wide.</email>,<author>Alice</author>
41,<email>We need a simpler price card. Three tiers max.</email>,<author>Alice</author>
